序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,629.00,1120,2000
2,1020合　　庫,630.00,2331,5 
3,1020合　　庫,631.00,0,2230
4,1020合　　庫,632.00,6000,3050 
5,1020合　　庫,633.00,760,100
6,1020合　　庫,635.00,1000,4000 
7,1021合庫台中,628.00,1000,0
8,1021合庫台中,629.00,3026,20 
9,1021合庫台中,630.00,548,1305
10,1021合庫台中,631.00,1064,1000 
11,1021合庫台中,632.00,122,3100
12,1021合庫台中,633.00,1015,100 
13,1022合庫台南,628.00,1000,0
14,1022合庫台南,629.00,1000,3000 
15,1022合庫台南,630.00,1140,0
16,1022合庫台南,631.00,100,0 
17,1022合庫台南,632.00,1000,0
18,1022合庫台南,633.00,0,2000 
19,1023合庫高雄,629.00,1,0
20,1023合庫高雄,630.00,150,250 
21,1023合庫高雄,631.00,0,50
22,1023合庫高雄,632.00,0,650 
23,1023合庫高雄,633.00,25,0
24,1024合庫嘉義,630.00,50,0 
25,1024合庫嘉義,631.00,170,0
26,1024合庫嘉義,633.00,0,150 
27,1025合庫基隆,629.00,15,0
28,1025合庫基隆,630.00,100,0 
29,1025合庫基隆,632.00,0,1160
30,1025合庫基隆,633.00,0,1000 
31,1028合庫彰化,628.00,1000,0
32,1028合庫彰化,629.00,1200,0 
33,1028合庫彰化,630.00,150,230
34,1028合庫彰化,631.00,0,100 
35,1028合庫彰化,632.00,5,3000
36,1029合庫鳳山,629.00,50,200 
37,1029合庫鳳山,630.00,0,50
38,1029合庫鳳山,631.00,200,100 
39,1029合庫鳳山,632.00,1050,0
40,1029合庫鳳山,633.00,1000,24 
41,102A合庫新竹,628.00,1000,0
42,102A合庫新竹,631.00,2100,1000 
43,102A合庫新竹,632.00,11000,51
44,102A合庫新竹,633.00,0,1030 
45,102C合庫自強,628.00,1000,0
46,102C合庫自強,629.00,1000,0 
47,102C合庫自強,630.00,0,300
48,102C合庫自強,631.00,1000,15 
49,102C合庫自強,632.00,560,32100
50,102C合庫自強,633.00,14000,3000 
51,102C合庫自強,635.00,0,1000
52,102E合庫桃園,629.00,1050,0 
53,102E合庫桃園,630.00,1018,0
54,102E合庫桃園,631.00,5019,450 
55,102E合庫桃園,632.00,60,1350
56,102E合庫桃園,633.00,10,0 
57,102E合庫桃園,635.00,0,2000
58,102F合庫西台,630.00,116,0 
59,102F合庫西台,631.00,1000,200
60,102F合庫西台,632.00,1010,2078 
61,102F合庫西台,633.00,0,6275
62,102G合庫三重,629.00,100,100 
63,102G合庫三重,630.00,0,2000
64,102G合庫三重,631.00,2,0 
65,102G合庫三重,632.00,0,1000
66,102G合庫三重,633.00,85,0 
67,1030土　　銀,629.00,2000,0
68,1030土　　銀,632.00,0,50 
69,1030土　　銀,633.00,100,1000
70,1030土　　銀,635.00,0,3000 
71,1031土銀台中,630.00,0,8000
72,1032土銀台南,629.00,2000,0 
73,1032土銀台南,630.00,0,100
